Day,Station,Code,Min Delay,Min Gap,Bound,Line,Vehicle,DateTime
Saturday,LAWRENCE EAST STATION,SRDP,0,0,N,SRT,3023,2022-01-01 15:59:00
Saturday,SPADINA BD STATION,MUIS,0,0,,BD,0,2022-01-01 02:23:00
Saturday,KENNEDY SRT STATION TO,MRO,0,0,,SRT,0,2022-01-01 22:00:00
Saturday,VAUGHAN MC STATION,MUIS,0,0,,YU,0,2022-01-01 02:28:00
Saturday,EGLINTON STATION,MUATC,0,0,S,YU,5981,2022-01-01 02:34:00
Saturday,QUEEN STATION,MUNCA,0,0,,YU,0,2022-01-01 05:40:00
Saturday,DAVISVILLE STATION,MUNCA,0,0,,YU,0,2022-01-01 06:56:00
Saturday,ST PATRICK STATION,MUNCA,0,0,,YU,0,2022-01-01 06:58:00
Saturday,PAPE STATION,MUNCA,0,0,,BD,0,2022-01-01 07:01:00
Saturday,WILSON STATION,TUATC,10,0,S,YU,5896,2022-01-01 07:43:00
Saturday,KENNEDY BD STATION,MUNCA,0,0,,BD,0,2022-01-01 07:45:00
Saturday,FINCH STATION,MUSC,0,0,N,YU,5481,2022-01-01 07:54:00
Saturday,YONGE BD STATION,MUNCA,0,0,,BD,0,2022-01-01 08:00:00
Saturday,ST ANDREW STATION,MUNCA,0,0,,YU,0,2022-01-01 08:00:00
Saturday,MAIN STREET STATION,MUNCA,0,0,,BD,0,2022-01-01 08:00:00
Saturday,HIGH PARK STATION,MUNCA,0,0,,BD,0,2022-01-01 08:00:00
Saturday,FINCH STATION,TUNOA,6,12,S,YU,0,2022-01-01 08:12:00
Saturday,GREENWOOD STATION,TUO,5,10,E,BD,5091,2022-01-01 08:28:00
Saturday,COXWELL STATION,MUSC,0,0,W,BD,5328,2022-01-01 08:36:00
Saturday,WELLESLEY STATION,SUO,0,0,,YU,0,2022-01-01 09:01:00
Saturday,SHEPPARD WEST STATION,PUOPO,0,0,S,YU,5746,2022-01-01 09:10:00
Saturday,FINCH STATION,MUSC,0,0,S,YU,5931,2022-01-01 09:12:00
Saturday,BLOOR STATION,MUIS,0,0,N,YU,0,2022-01-01 09:16:00
Saturday,VAUGHAN MC STATION,MUIRS,0,0,,YU,0,2022-01-01 09:44:00
Saturday,KENNEDY BD STATION,TUO,5,10,W,BD,5153,2022-01-01 09:45:00
Saturday,FINCH STATION,TUNOA,6,12,S,YU,0,2022-01-01 09:51:00
Saturday,UNION STATION,MUIE,0,0,,YU,0,2022-01-01 11:08:00
Saturday,ST GEORGE YUS STATION,TUO,5,10,S,YU,5936,2022-01-01 11:17:00
Saturday,DAVISVILLE STATION,SUDP,3,8,S,YU,5981,2022-01-01 12:01:00
Saturday,RUNNYMEDE STATION,SUUT,20,25,W,BD,6263,2022-01-01 12:14:00
Saturday,ROSEDALE STATION,SUUT,0,0,S,YU,5471,2022-01-01 14:14:00
Saturday,ISLINGTON STATION,MUIRS,0,0,E,BD,0,2022-01-01 17:42:00
Saturday,ST GEORGE YUS STATION,MUSAN,7,12,S,YU,5666,2022-01-01 18:12:00
Saturday,EGLINTON STATION,MUATC,3,10,S,YU,5481,2022-01-01 18:20:00
Saturday,SHERBOURNE STATION,MUDD,12,16,W,BD,5032,2022-01-01 18:50:00
Saturday,EGLINTON STATION,MUATC,3,10,S,YU,5906,2022-01-01 18:59:00
Saturday,VAUGHAN MC STATION,PUOPO,0,0,S,YU,5761,2022-01-01 19:11:00
Saturday,HIGHWAY 407 STATION,PUOPO,5,12,S,YU,5761,2022-01-01 19:13:00
Saturday,QUEEN STATION,MUATC,0,0,N,YU,6001,2022-01-01 19:22:00
Saturday,KIPLING STATION,MUD,7,14,E,BD,5201,2022-01-01 21:51:00
Saturday,BLOOR STATION,MUPR1,7,14,N,YU,6116,2022-01-01 21:55:00
Saturday,YONGE/UNIVERSITY AND B,MUO,0,0,,YU/BD,0,2022-01-01 22:00:00
Saturday,BLOOR STATION,MUIS,0,0,N,YU,0,2022-01-01 22:33:00
Saturday,QUEEN STATION,MUIRS,0,0,S,YU,5981,2022-01-01 22:39:00
Saturday,SHEPPARD WEST STATION,MUIS,0,0,,YU,0,2022-01-01 22:43:00
Saturday,UNION STATION,MUIS,0,0,N,YU,0,2022-01-01 22:56:00
Saturday,BLOOR STATION,EUPI,4,8,S,YU,5661,2022-01-01 23:18:00
Saturday,KENNEDY BD STATION,SUDP,7,14,W,BD,5032,2022-01-01 23:37:00
Saturday,ST GEORGE BD STATION,SUDP,0,0,W,BD,5181,2022-01-01 23:45:00
Saturday,WELLESLEY STATION,MUIS,0,0,,YU,0,2022-01-01 23:46:00
Saturday,CHRISTIE STATION,TUMVS,0,0,E,BD,5045,2022-01-01 23:58:00
Saturday,DAVISVILLE STATION,MUO,0,0,,YU,0,2022-01-01 01:02:00
Saturday,WILSON STATION,MUI,0,0,S,YU,5746,2022-01-01 01:50:00
Saturday,FINCH STATION,SUDP,0,0,,YU,0,2022-01-01 01:56:00
Saturday,BESSARION STATION,MUSC,0,0,E,SHP,6141,2022-01-01 17:12:00
Sunday,MCCOWAN STATION,TRNOA,6,12,S,SRT,3018,2022-01-02 21:20:00
Sunday,ST CLAIR WEST STATION,SUAE,0,0,S,YU,0,2022-01-02 02:02:00
Sunday,KIPLING STATION,MUIS,0,0,,BD,0,2022-01-02 02:39:00
Sunday,LAWRENCE EAST STATION,TRO,6,12,N,SRT,3009,2022-01-02 21:29:00
Sunday,KENNEDY SRT STATION TO,MRO,0,0,,SRT,0,2022-01-02 22:00:00
Sunday,YORKDALE STATION,PUOPO,0,0,S,YU,5741,2022-01-02 08:10:00
Sunday,SHEPPARD WEST STATION,PUOPO,6,12,N,YU,5626,2022-01-02 08:14:00
Sunday,EGLINTON STATION,TUNOA,6,12,N,YU,5896,2022-01-02 08:59:00
Sunday,ISLINGTON STATION,PUSSW,3,8,E,BD,5211,2022-01-02 09:05:00
Sunday,BLOOR STATION,MUIS,0,0,,YU,0,2022-01-02 09:20:00
Sunday,EGLINTON STATION,EUDO,5,10,N,YU,5601,2022-01-02 09:56:00
Sunday,BATHURST STATION,SUDP,11,16,E,BD,5213,2022-01-02 10:23:00
Sunday,WARDEN STATION,PUMEL,0,0,,BD,0,2022-01-02 10:30:00
Sunday,COLLEGE STATION,SUAP,0,0,,YU,0,2022-01-02 10:56:00
Sunday,MAIN STREET STATION,TUSC,0,0,W,BD,5032,2022-01-02 10:59:00
Sunday,RUNNYMEDE STATION,SUAE,0,0,,BD,0,2022-01-02 11:01:00
Sunday,COXWELL STATION,PUMST,0,0,,BD,0,2022-01-02 11:57:00
Sunday,DUPONT STATION,PUOPO,5,10,N,YU,5706,2022-01-02 12:15:00
Sunday,UNION STATION,PUSAC,5,10,S,YU,5766,2022-01-02 12:18:00
Sunday,VAUGHAN MC STATION,MUPAA,5,10,S,YU,5936,2022-01-02 13:13:00
Sunday,VAUGHAN MC STATION,PUOPO,5,10,S,YU,5551,2022-01-02 13:34:00
Sunday,KEELE STATION,MUIS,0,0,,BD,0,2022-01-02 14:01:00
Sunday,VAUGHAN MC STATION,MUI,5,10,N,YU,5471,2022-01-02 14:59:00
Sunday,ST ANDREW STATION,MUO,0,0,S,YU,5381,2022-01-02 15:51:00
Sunday,ST ANDREW STATION,SUAP,0,0,,YU,0,2022-01-02 15:52:00
Sunday,BLOOR STATION,SUDP,0,0,S,YU,0,2022-01-02 15:55:00
Sunday,LAWRENCE WEST STATION,PUOPO,5,10,N,YU,5521,2022-01-02 16:00:00
Sunday,LANSDOWNE STATION,SUDP,8,13,E,BD,5022,2022-01-02 16:05:00
Sunday,LANSDOWNE STATION,SUDP,0,0,E,BD,5211,2022-01-02 16:08:00
Sunday,YONGE BD STATION,MUNCA,0,0,,BD,0,2022-01-02 17:00:00
Sunday,NORTH YORK CTR STATION,MUPAA,4,9,N,YU,5651,2022-01-02 17:07:00
Sunday,KENNEDY BD STATION,TUMVS,0,0,E,BD,5225,2022-01-02 17:42:00
Sunday,DUNDAS STATION,MUIRS,0,0,S,YU,0,2022-01-02 17:49:00
Sunday,VAUGHAN MC STATION,PUMEL,0,0,,YU,0,2022-01-02 17:53:00
Sunday,KIPLING STATION,MUIS,0,0,,BD,0,2022-01-02 17:57:00
Sunday,CHRISTIE STATION,TUMVS,0,0,W,BD,5260,2022-01-02 18:16:00
Sunday,BLOOR STATION,MUPAA,0,0,N,YU,5731,2022-01-02 18:23:00
Sunday,DUNDAS WEST STATION,TUMVS,0,0,W,BD,5260,2022-01-02 18:31:00
Sunday,UNION STATION,MUIS,0,0,,YU,0,2022-01-02 18:38:00
Sunday,DUNDAS STATION,MUIS,0,0,N,YU,0,2022-01-02 19:07:00
Sunday,QUEEN STATION,SUO,0,0,N,YU,5791,2022-01-02 20:19:00
Sunday,ST CLAIR WEST STATION,SUAP,5,12,S,YU,5531,2022-01-02 20:26:00
Sunday,KIPLING STATION,MUO,10,15,W,BD,5260,2022-01-02 20:37:00
Sunday,QUEEN STATION,SUO,0,0,,YU,0,2022-01-02 21:19:00
Sunday,LAWRENCE WEST STATION,SUO,0,0,N,YU,5825,2022-01-02 21:31:00
Sunday,COLLEGE STATION,SUSA,0,0,S,YU,0,2022-01-02 22:00:00
Sunday,YONGE/UNIVERSITY AND B,MUO,0,0,,YU/BD,0,2022-01-02 22:00:00
Sunday,DUNDAS WEST STATION,MUIS,0,0,,BD,0,2022-01-02 22:01:00
Sunday,ROYAL YORK STATION,SUDP,0,0,W,BD,5032,2022-01-02 22:11:00
Sunday,FINCH WEST STATION,PUMEL,0,0,,YU,0,2022-01-02 22:16:00
Sunday,SHERBOURNE STATION,MUIS,0,0,E,BD,0,2022-01-02 23:56:00
Sunday,KEELE STATION,PUSTS,0,0,W,BD,5015,2022-01-02 00:43:00
Sunday,KIPLING STATION,PUSIS,0,0,E,BD,5222,2022-01-02 01:25:00
Sunday,DUNDAS STATION,MUIRS,0,0,S,YU,0,2022-01-02 01:34:00
Monday,FINCH STATION,TUNOA,3,6,S,YU,0,2022-01-03 02:09:00
Monday,KENNEDY SRT STATION,ERDO,0,0,,SRT,3027,2022-01-03 06:19:00
Monday,ELLESMERE STATION,MRTO,0,0,N,SRT,3013,2022-01-03 09:13:00
Monday,FINCH STATION,MUIS,0,0,,YU,0,2022-01-03 03:43:00
Monday,EGLINTON STATION,EUYRD,4,0,N,YU,6096,2022-01-03 05:38:00
Monday,KENNEDY SRT STATION,ERTC,12,19,N,SRT,3013,2022-01-03 11:16:00
Monday,KIPLING STATION,PUSTS,4,0,E,BD,5022,2022-01-03 05:42:00
Monday,MCCOWAN STATION,TRO,3,8,S,SRT,3024,2022-01-03 20:13:00
Monday,WILSON STATION,EUYRD,5,0,S,YU,6026,2022-01-03 05:44:00
Monday,VAUGHAN MC STATION,PUOPO,4,8,S,YU,5746,2022-01-03 06:00:00
Monday,WARDEN STATION,PUSIS,4,8,E,BD,5289,2022-01-03 06:10:00
Monday,SHEPPARD WEST STATION,MUATC,8,13,N,YU,5666,2022-01-03 06:26:00
Monday,EGLINTON STATION (MIGR,MUATC,5,8,S,YU,5691,2022-01-03 07:12:00
Monday,WILSON STATION,PUOPO,3,6,S,YU,5766,2022-01-03 07:21:00
Monday,YORKDALE STATION,PUOPO,4,7,S,YU,5766,2022-01-03 07:26:00
Monday,NORTH YORK CTR STATION,EUSC,0,0,S,YU,6011,2022-01-03 07:36:00
Monday,FINCH STATION,MUTO,3,6,S,YU,5916,2022-01-03 08:20:00
Monday,ST GEORGE YUS STATION,PUOPO,3,6,N,YU,6011,2022-01-03 08:20:00
Monday,SPADINA YUS STATION,PUOPO,3,6,N,YU,6011,2022-01-03 08:25:00
Monday,ST GEORGE YUS STATION,PUOPO,0,0,N,YU,5521,2022-01-03 08:46:00
Monday,SPADINA YUS STATION,PUOPO,4,7,N,YU,5521,2022-01-03 08:49:00
Monday,KEELE STATION,MUSC,0,0,W,BD,5139,2022-01-03 08:54:00
Monday,BLOOR STATION,MUIS,0,0,,YU,0,2022-01-03 09:03:00
Monday,VAUGHAN MC STATION,TUNOA,3,6,S,YU,0,2022-01-03 10:17:00
Monday,FINCH STATION,TUNIP,3,6,S,YU,5611,2022-01-03 10:20:00
Monday,VAUGHAN MC STATION,TUNOA,3,6,S,YU,0,2022-01-03 10:21:00
Monday,VAUGHAN MC STATION,MUPAA,0,0,S,YU,5856,2022-01-03 11:38:00
Monday,EGLINTON STATION,MUSC,0,0,N,YU,5746,2022-01-03 12:31:00
Monday,FINCH STATION,SUO,4,7,S,YU,5716,2022-01-03 12:51:00
Monday,KING STATION,MUIS,0,0,S,YU,0,2022-01-03 13:52:00
Monday,OSSINGTON STATION,MUIS,0,0,,BD,0,2022-01-03 14:02:00
Monday,ST PATRICK STATION,SUUT,0,0,N,YU,5916,2022-01-03 14:18:00
Monday,FINCH STATION,SUO,0,0,,YU,0,2022-01-03 14:57:00
Monday,FINCH STATION,MUIS,0,0,,YU,0,2022-01-03 15:05:00
Monday,SPADINA YUS STATION,MUPAA,3,6,N,YU,5776,2022-01-03 15:14:00
Monday,DUNDAS WEST STATION,SUAP,7,11,W,BD,5220,2022-01-03 16:10:00
Monday,CHRISTIE STATION,SUDP,4,8,E,BD,5204,2022-01-03 16:20:00
Monday,YONGE BD STATION,MUIRS,0,0,,BD,0,2022-01-03 17:20:00
Monday,PIONEER VILLAGE STATIO,PUOPO,0,0,N,YU,5681,2022-01-03 17:20:00
Monday,FINCH WEST STATION,PUOPO,0,0,S,YU,5886,2022-01-03 17:21:00
Monday,QUEEN'S PARK STATION,MUNCA,0,0,,YU,0,2022-01-03 17:27:00
Monday,YORK MILLS STATION,TUOS,5,8,S,YU,5581,2022-01-03 17:43:00
Monday,FINCH STATION,TUNOA,3,6,S,YU,0,2022-01-03 18:17:00
Monday,KEELE STATION,MUNCA,0,0,,BD,0,2022-01-03 18:33:00
Monday,WELLESLEY STATION,MUIRS,0,0,S,YU,0,2022-01-03 18:49:00
Monday,VAUGHAN MC STATION,TUNOA,3,6,S,YU,0,2022-01-03 18:49:00
Monday,BROADVIEW STATION,TUOS,4,8,E,BD,5203,2022-01-03 19:00:00
Monday,KENNEDY BD STATION,MUIS,0,0,,BD,0,2022-01-03 19:08:00
Monday,OSGOODE STATION,MUIRS,0,0,,YU,0,2022-01-03 19:35:00
Monday,NORTH YORK CTR STATION,PUSO,0,0,N,YU,5896,2022-01-03 19:42:00
Monday,DUFFERIN STATION,MUIS,0,0,W,BD,5293,2022-01-03 20:24:00
Monday,UNION STATION,SUUT,7,10,N,YU,5606,2022-01-03 20:45:00
Monday,ST GEORGE YUS STATION,PUOPO,3,6,N,YU,5606,2022-01-03 21:03:00
Monday,EGLINTON STATION,MUATC,4,9,S,YU,5666,2022-01-03 21:58:00
Monday,YONGE-UNIVERSITY AND B,MUO,0,0,,YU/BD,0,2022-01-03 22:00:00
Monday,LAWRENCE STATION,MUIE,5,10,N,YU,5426,2022-01-03 22:13:00
Monday,ST CLAIR WEST STATION,MUTO,4,9,S,YU,5861,2022-01-03 00:54:00
Monday,PAPE STATION,MUIS,0,0,,BD,0,2022-01-03 01:23:00
Monday,BAYVIEW STATION,TUMVS,13,18,E,SHP,6151,2022-01-03 21:14:00
Monday,LESLIE STATION,TUO,5,10,W,SHP,6156,2022-01-03 21:40:00
Monday,SHEPPARD-YONGE STATION,TUSC,0,0,E,SHP,6196,2022-01-03 23:42:00
Tuesday,FINCH STATION,MUIS,0,0,,YU,0,2022-01-04 02:14:00
Tuesday,KENNEDY SRT STATION,ERCD,6,12,N,SRT,3007,2022-01-04 15:20:00
Tuesday,MIDLAND STATION,ERTC,6,11,N,SRT,3007,2022-01-04 15:33:00
Tuesday,OSGOODE STATION,MUNCA,0,0,,YU,0,2022-01-04 05:40:00
Tuesday,YONGE BD STATION,TUCC,5,0,W,BD,5226,2022-01-04 05:55:00
Tuesday,WILSON STATION,TUNOA,3,6,S,YU,0,2022-01-04 06:21:00
Tuesday,DUPONT STATION,PUOPO,5,8,N,YU,5626,2022-01-04 07:05:00
Tuesday,EGLINTON STATION,TUATC,5,8,S,YU,5891,2022-01-04 07:09:00
Tuesday,KIPLING STATION,MUTO,3,7,E,BD,5022,2022-01-04 07:43:00
Tuesday,NORTH YORK CTR STATION,MUNCA,0,0,,YU,0,2022-01-04 07:56:00
Tuesday,ST GEORGE YUS STATION,SUDP,0,0,S,YU,5811,2022-01-04 08:11:00
Tuesday,ST GEORGE BD STATION,TUMVS,0,0,W,BD,5296,2022-01-04 08:47:00
Tuesday,ST GEORGE YUS STATION,MUTO,7,12,S,YU,5911,2022-01-04 08:51:00
Tuesday,SHERBOURNE STATION,MUNCA,0,0,,BD,0,2022-01-04 10:08:00
Tuesday,KENNEDY BD STATION,TUMVS,3,7,W,BD,5041,2022-01-04 10:19:00
Tuesday,DUFFERIN STATION,MUD,0,0,W,BD,5126,2022-01-04 12:04:00
Tuesday,PIONEER VILLAGE STATIO,EUDO,3,6,N,YU,5781,2022-01-04 13:50:00
Tuesday,FINCH STATION,TUNOA,3,6,S,YU,0,2022-01-04 13:54:00
Tuesday,VAUGHAN MC STATION,MUSAN,3,6,S,YU,5566,2022-01-04 14:20:00
Tuesday,EGLINTON WEST STATION,MUPAA,3,6,S,YU,5786,2022-01-04 14:23:00
Tuesday,DUNDAS STATION,SUDP,4,7,N,YU,5896,2022-01-04 14:28:00
Tuesday,ST GEORGE BD STATION,PUMST,0,0,,BD,0,2022-01-04 14:50:00
Tuesday,WOODBINE STATION,MUSC,0,0,W,BD,5296,2022-01-04 15:18:00
Tuesday,FINCH STATION,TUNOA,7,14,S,YU,5000,2022-01-04 15:33:00
Tuesday,FINCH STATION,TUNOA,3,6,S,YU,0,2022-01-04 15:33:00
Tuesday,FINCH STATION,MUCL,3,6,S,YU,5791,2022-01-04 15:45:00
Tuesday,CHRISTIE STATION,PUMST,0,0,,BD,0,2022-01-04 16:08:00
Tuesday,FINCH STATION,SUAP,0,0,,YU,0,2022-01-04 16:24:00
Tuesday,FINCH STATION,TUNOA,3,6,S,YU,0,2022-01-04 17:43:00
Tuesday,FINCH STATION,TUNOA,3,6,S,YU,0,2022-01-04 17:46:00
Tuesday,FINCH STATION,TUNOA,7,14,S,YU,5000,2022-01-04 17:49:00
Tuesday,COXWELL STATION,SUAP,4,8,E,BD,5213,2022-01-04 17:52:00
Tuesday,CHRISTIE STATION,MUNCA,0,0,,BD,0,2022-01-04 18:05:00
Tuesday,FINCH STATION,TUNOA,7,14,S,YU,5000,2022-01-04 18:17:00
Tuesday,FINCH STATION,TUNOA,3,6,S,YU,0,2022-01-04 18:17:00
Tuesday,FINCH STATION,TUNOA,3,6,S,YU,0,2022-01-04 18:49:00
Tuesday,VAUGHAN MC STATION,TUNOA,7,14,S,YU,5000,2022-01-04 18:49:00
Tuesday,VAUGHAN MC STATION,TUNOA,7,14,S,YU,5000,2022-01-04 18:52:00
Tuesday,WELLESLEY STATION,SUAE,21,24,S,YU,5431,2022-01-04 19:13:00
Tuesday,YONGE BD STATION,SUO,16,23,W,BD,5142,2022-01-04 19:44:00
Tuesday,SPADINA YUS STATION,SUDP,16,19,S,YU,5836,2022-01-04 19:48:00
Tuesday,DONLANDS STATION,SUDP,0,0,E,BD,5171,2022-01-04 19:52:00
Tuesday,KING STATION,SUUT,10,13,N,YU,5981,2022-01-04 20:05:00
Tuesday,FINCH STATION,EUDO,4,7,S,YU,5706,2022-01-04 20:15:00
Tuesday,YORK MILLS STATION,SUDP,4,3,S,YU,5826,2022-01-04 20:56:00
Tuesday,PAPE STATION,SUDP,0,0,W,BD,0,2022-01-04 21:31:00
Tuesday,FINCH STATION,SUDP,0,0,,YU,0,2022-01-04 21:50:00
Tuesday,YONGE-UNIVERSITY AND B,MUO,0,0,,YU/BD,0,2022-01-04 22:00:00
Tuesday,QUEEN STATION,SUDP,0,0,S,YU,5891,2022-01-04 22:36:00
Tuesday,QUEEN STATION,MUIRS,0,0,,YU,0,2022-01-04 22:48:00
Tuesday,WOODBINE STATION,MUPR1,13,20,W,BD,5007,2022-01-04 22:53:00
Tuesday,DUNDAS STATION,MUIRS,0,0,,YU,0,2022-01-04 23:07:00
Tuesday,MAIN STREET STATION,PUMEL,0,0,,BD,0,2022-01-04 23:28:00
Tuesday,KIPLING STATION,TUNOA,7,14,,BD,5020,2022-01-04 23:52:00
Tuesday,KENNEDY BD STATION,SUAE,7,14,W,BD,5259,2022-01-04 00:31:00
Tuesday,NORTH YORK CTR STATION,SUDP,3,10,S,YU,5776,2022-01-04 01:24:00
Tuesday,SHEPPARD STATION,MUIRS,0,0,,YU,0,2022-01-04 01:32:00
Tuesday,VAUGHAN MC STATION,SUDP,0,0,,YU,0,2022-01-04 01:48:00
Tuesday,SHEPPARD-YONGE STATION,MUSC,0,0,E,SHP,6181,2022-01-04 10:19:00
Tuesday,SHEPPARD-YONGE STATION,TUMVS,3,8,W,SHP,6186,2022-01-04 22:20:00
Wednesday,EGLINTON STATION,TUNOA,5,0,N,YU,0,2022-01-05 05:38:00
Wednesday,KENNEDY SRT STATION,SRSA,0,0,,SRT,0,2022-01-05 18:23:00
Wednesday,VAUGHAN MC STATION,TUNOA,3,6,S,YU,0,2022-01-05 06:02:00
Wednesday,WILSON STATION,TUNOA,3,6,S,YU,0,2022-01-05 06:10:00
Wednesday,EGLINTON WEST STATION,PUOPO,4,7,S,YU,5766,2022-01-05 06:28:00
Wednesday,HIGHWAY 407 STATION,EUSC,0,0,S,YU,5911,2022-01-05 06:37:00
Wednesday,VICTORIA PARK STATION,SUUT,0,0,W,BD,5311,2022-01-05 06:38:00
Wednesday,SPADINA YUS STATION,MUIE,0,0,,YU,0,2022-01-05 07:11:00
Wednesday,FINCH STATION,TUO,3,6,S,YU,5926,2022-01-05 08:17:00
Wednesday,ST GEORGE BD STATION,SUUT,3,7,W,BD,5162,2022-01-05 08:34:00
Wednesday,FINCH STATION,TUNOA,3,6,S,YU,0,2022-01-05 09:23:00
Wednesday,ST PATRICK STATION,MUIS,0,0,N,YU,5456,2022-01-05 09:52:00
Wednesday,EGLINTON WEST STATION,PUOPO,5,8,S,YU,5966,2022-01-05 10:24:00
Wednesday,VICTORIA PARK STATION,MUIS,0,0,,BD,0,2022-01-05 11:29:00
Wednesday,FINCH STATION,TUNOA,3,6,S,YU,0,2022-01-05 12:31:00
Wednesday,KENNEDY BD STATION,MUIR,4,8,W,BD,5368,2022-01-05 12:52:00
Wednesday,FINCH STATION,TUNOA,3,6,S,YU,0,2022-01-05 14:03:00
Wednesday,ST PATRICK STATION,SUUT,0,0,S,YU,5426,2022-01-05 14:13:00
Wednesday,GREENWOOD STATION,TUCC,3,7,E,BD,5142,2022-01-05 14:13:00
Wednesday,CASTLE FRANK STATION,MUIS,0,0,,BD,0,2022-01-05 14:27:00
Wednesday,LAWRENCE WEST STATION,PUOPO,0,0,S,YU,5771,2022-01-05 15:25:00
Wednesday,DOWNSVIEW PARK STATION,PUOPO,4,7,N,YU,5721,2022-01-05 15:35:00
Wednesday,FINCH WEST STATION,PUOPO,3,6,N,YU,5721,2022-01-05 15:40:00
Wednesday,HIGHWAY 407 STATION,PUOPO,4,7,S,YU,5996,2022-01-05 16:31:00
Wednesday,PIONEER VILLAGE STATIO,PUOPO,3,6,S,YU,5996,2022-01-05 16:37:00
Wednesday,PAPE STATION,MUNCA,0,0,,BD,0,2022-01-05 17:10:00
Wednesday,FINCH STATION,TUNOA,3,6,S,YU,5796,2022-01-05 17:20:00
Wednesday,DONLANDS STATION,SUDP,4,9,E,BD,6129,2022-01-05 17:40:00
Wednesday,GREENWOOD STATION,SUDP,5,10,E,BD,6129,2022-01-05 17:46:00
Wednesday,DUFFERIN STATION,MUNCA,0,0,,BD,0,2022-01-05 18:00:00
Wednesday,FINCH STATION,TUNOA,3,6,S,YU,5891,2022-01-05 18:27:00
Wednesday,YONGE BD STATION,MUIS,0,0,,BD,0,2022-01-05 18:38:00
Wednesday,DUPONT STATION,SUDP,4,7,N,YU,6034,2022-01-05 18:42:00
Wednesday,FINCH STATION,TUNOA,3,6,S,YU,0,2022-01-05 18:49:00
Wednesday,FINCH STATION,TUNOA,3,6,S,YU,0,2022-01-05 18:52:00
Wednesday,FINCH STATION,MUIRS,0,0,,YU,0,2022-01-05 18:53:00
Wednesday,SHEPPARD WEST STATION,SUDP,5,8,N,YU,6036,2022-01-05 19:00:00
Wednesday,YONGE BD STATION,MUIS,0,0,,BD,0,2022-01-05 19:36:00
Wednesday,SHEPPARD WEST STATION,PUOPO,0,0,S,YU,5951,2022-01-05 19:41:00
Wednesday,WILSON STATION,PUOPO,3,6,S,YU,5951,2022-01-05 19:43:00
Wednesday,CHRISTIE STATION,SUAE,17,24,E,BD,5225,2022-01-05 20:44:00
Wednesday,FINCH STATION,TUNOA,3,6,S,YU,0,2022-01-05 21:05:00
Wednesday,FINCH STATION,TUNOA,3,6,S,YU,0,2022-01-05 21:19:00
Wednesday,QUEEN'S PARK STATION,MUNCA,0,0,,YU,0,2022-01-05 21:26:00
Wednesday,YONGE-UNIVERSITY AND B,MUO,0,0,,YU/BD,0,2022-01-05 22:00:00
Wednesday,EGLINTON WEST STATION,SUAP,10,15,S,YU,6031,2022-01-05 22:30:00
Wednesday,FINCH STATION,MUIS,0,0,,YU,0,2022-01-05 22:38:00
Wednesday,KIPLING STATION,EUNT,7,14,E,BD,5016,2022-01-05 22:50:00
Wednesday,DUNDAS STATION,SUDP,4,9,N,YU,6026,2022-01-05 23:08:00
Wednesday,ISLINGTON STATION,SUDP,3,10,W,BD,5279,2022-01-05 23:18:00
Wednesday,KING STATION,MUNCA,0,0,,YU,0,2022-01-05 23:30:00
Wednesday,YORK UNIVERSITY STATIO,SUDP,3,8,N,YU,6131,2022-01-05 23:32:00
Wednesday,ISLINGTON STATION,SUDP,4,11,W,BD,5178,2022-01-05 23:35:00
Wednesday,SHERBOURNE STATION,SUDP,0,0,E,BD,5059,2022-01-05 23:38:00
Wednesday,FINCH STATION,SUDP,0,0,,,0,2022-01-05 00:01:00
Wednesday,DUNDAS STATION,MUIRS,0,0,N,YU,0,2022-01-05 00:13:00
Wednesday,BLOOR STATION,MUI,7,12,S,YU,6101,2022-01-05 00:16:00
Wednesday,DUNDAS STATION,MUIS,0,0,N,YU,6131,2022-01-05 00:47:00
Wednesday,OSSINGTON STATION,SUUT,3,10,E,BD,5008,2022-01-05 01:26:00
Wednesday,KIPLING STATION,SUDP,0,0,E,BD,0,2022-01-05 01:38:00
Wednesday,VAUGHAN MC STATION,SUDP,0,0,,YU,0,2022-01-05 01:43:00
Wednesday,FINCH STATION,MUIS,0,0,,YU,0,2022-01-05 01:45:00
Wednesday,SHEPPARD-YONGE STATION,SUDP,3,8,E,SHP,6146,2022-01-05 12:49:00
Thursday,MCCOWAN STATION,MRPAA,0,0,N,SRT,3025,2022-01-06 19:39:00
Thursday,SPADINA YUS STATION,MUIE,0,0,S,YU,0,2022-01-06 03:08:00
Thursday,FINCH STATION,SUO,0,0,,YU,0,2022-01-06 03:59:00
Thursday,LAWRENCE EAST TO KENNE,MRO,0,0,,SRT,0,2022-01-06 22:00:00
Thursday,WILSON STATION,TUNOA,0,0,S,YU,0,2022-01-06 05:14:00
Thursday,KEELE STATION,MUO,3,0,W,BD,5279,2022-01-06 06:02:00
Thursday,DUNDAS STATION,MUPAA,3,6,N,YU,5821,2022-01-06 06:33:00
Thursday,ST GEORGE YUS STATION,PUOPO,0,0,N,YU,6121,2022-01-06 06:34:00
Thursday,SPADINA YUS STATION,PUOPO,7,10,N,YU,6121,2022-01-06 06:37:00
Thursday,SPADINA YUS STATION,PUOPO,5,8,S,YU,5611,2022-01-06 06:38:00
Thursday,UNION STATION TO ST AN,MUPAA,0,0,S,YU,5666,2022-01-06 06:58:00
